year,bear_id,entry_type,n_cubs_in_entry,result,roster_complete_for_year,source_keys,notes
2014,410,individual,,runner_up,False,explore_hoc,
2014,480,individual,,champion,False,explore_hoc,
2015,409,individual,,champion,False,explore_hoc,
2015,480,individual,,runner_up,False,explore_hoc,
2016,435,individual,,runner_up,False,explore_hoc,
2016,480,individual,,champion,False,explore_hoc,
2017,480,individual,,champion,False,explore_hoc,
2017,747,individual,,runner_up,False,explore_hoc,
2018,409,individual,,champion,False,explore_hoc,
2018,480,individual,,round_2,False,explore_hoc,
2018,747,individual,,runner_up,False,explore_hoc,
2019,435,individual,,champion,False,explore_hoc,
2019,775,individual,,runner_up,False,explore_hoc,
2020,32,individual,,runner_up,False,explore_hoc,
2020,747,individual,,champion,False,explore_hoc,
2020,151,individual,,semifinal,False,nps_2020_blog,747 beat 151 in the semifinal en route to the title (NPS recap blog)
2021,128,individual,,eliminated_round_unknown,True,nps_2021,
2021,131,individual,,eliminated_round_unknown,True,nps_2021,
2021,132-cub-2021,cub,,eliminated_round_unknown,True,nps_2021,
2021,151,individual,,runner_up,True,nps_2021,
2021,32,individual,,eliminated_round_unknown,True,nps_2021,
2021,402,individual,,eliminated_round_unknown,True,nps_2021,
2021,435,individual,,eliminated_round_unknown,True,nps_2021,
2021,480,individual,,champion,True,nps_2021,
2021,503,individual,,eliminated_round_unknown,True,nps_2021,
2021,634,individual,,eliminated_round_unknown,True,nps_2021,
2021,747,individual,,eliminated_round_unknown,True,nps_2021,
2021,812,individual,,eliminated_round_unknown,True,nps_2021,
2022,128,individual,,eliminated_round_unknown,True,nps_2022,
2022,151,individual,,eliminated_round_unknown,True,nps_2022,
2022,164,individual,,eliminated_round_unknown,True,nps_2022,
2022,32,individual,,eliminated_round_unknown,True,nps_2022,
2022,335,individual,,eliminated_round_unknown,True,nps_2022,
2022,435,individual,,semifinal,True,nps_2022,
2022,480,individual,,eliminated_round_unknown,True,nps_2022,
2022,609,cub,,eliminated_round_unknown,True,nps_2022,listed as '909's Yearling Cub' (Fat Bear Junior winner)
2022,747,individual,,champion,True,nps_2022,
2022,854,individual,,eliminated_round_unknown,True,nps_2022,
2022,856,individual,,eliminated_round_unknown,True,nps_2022,
2022,901,individual,,runner_up,True,nps_2022,
2023,128,individual,,champion,True,news_12_2023,
2023,151,individual,,eliminated_round_unknown,True,news_12_2023,
2023,164,individual,,eliminated_round_unknown,True,news_12_2023,
2023,284,individual,,eliminated_round_unknown,True,news_12_2023,
2023,32,individual,,runner_up,True,news_12_2023,
2023,402,individual,,eliminated_round_unknown,True,news_12_2023,
2023,428,individual,,eliminated_round_unknown,True,news_12_2023,
2023,435,individual,,eliminated_round_unknown,True,news_12_2023,
2023,480,individual,,eliminated_round_unknown,True,news_12_2023,
2023,747,individual,,eliminated_round_unknown,True,news_12_2023,
2023,806-jr-2023,cub,,eliminated_round_unknown,True,news_12_2023,
2023,901,individual,,eliminated_round_unknown,True,news_12_2023,had cubs (one disappeared mid-Sept); entered individually
2024,128,individual,,champion,True,nps_2024,
2024,151,individual,,eliminated_round_unknown,True,nps_2024,
2024,164,individual,,eliminated_round_unknown,True,nps_2024,
2024,32,individual,,runner_up,True,nps_2024,
2024,504,family_unit,,eliminated_round_unknown,True,nps_2024,number of cubs not stated
2024,519,individual,,eliminated_round_unknown,True,nps_2024,
2024,609,cub,,eliminated_round_unknown,True,nps_2024,listed as '909 Jr.' (Fat Bear Junior winner); raised by 910
2024,747,individual,,eliminated_round_unknown,True,nps_2024,
2024,856,individual,,eliminated_round_unknown,True,nps_2024,
2024,901,individual,,eliminated_round_unknown,True,nps_2024,
2024,903,individual,,eliminated_round_unknown,True,nps_2024,
2024,909,individual,,eliminated_round_unknown,True,nps_2024,
2025,128,individual,,eliminated_round_unknown,True,usat_2025,
2025,128-jr,cub,,eliminated_round_unknown,True,usat_2025,
2025,26,individual,,eliminated_round_unknown,True,usat_2025,arrived with new litter; unclear if entered as family unit
2025,32,individual,,champion,True,usat_2025,
2025,503,individual,,eliminated_round_unknown,True,usat_2025,
2025,602,individual,,eliminated_round_unknown,True,usat_2025,
2025,609,individual,,eliminated_round_unknown,True,usat_2025,
2025,856,individual,,runner_up,True,usat_2025,
2025,901,individual,,eliminated_round_unknown,True,usat_2025,
2025,909,individual,,eliminated_round_unknown,True,usat_2025,
2025,910,individual,,eliminated_round_unknown,True,usat_2025,
2025,99,individual,,eliminated_round_unknown,True,usat_2025,
2026,131,individual,,in_progress,True,usat_2026;unoff_2026,
2026,132,family_unit,3,in_progress,True,usat_2026;unoff_2026,
2026,151,individual,,in_progress,True,usat_2026;unoff_2026,
2026,164,individual,,in_progress,True,usat_2026;unoff_2026,
2026,284,family_unit,2,in_progress,True,usat_2026;unoff_2026,
2026,32,individual,,in_progress,True,usat_2026;unoff_2026,
2026,428,individual,,in_progress,True,usat_2026;unoff_2026,
2026,610,family_unit,2,in_progress,True,usat_2026;unoff_2026,
2026,620,individual,,in_progress,True,usat_2026;unoff_2026,
2026,694,individual,,in_progress,True,usat_2026;unoff_2026,
2026,806,family_unit,2,in_progress,True,usat_2026;unoff_2026,spring cub + adopted 2.5-yr-old
2026,89,individual,,in_progress,True,usat_2026;unoff_2026,
2026,901,family_unit,1,in_progress,True,usat_2026;unoff_2026,
2026,903,individual,,in_progress,True,usat_2026;unoff_2026,
2026,909,individual,,in_progress,True,usat_2026;unoff_2026,lost two cubs this season
2026,910,individual,,in_progress,True,usat_2026;unoff_2026,
