source_key,url,description
explore_hoc,https://explore.org/hall-of-champions,Explore.org Hall of Champions
nps_past,https://www.nps.gov/katm/learn/nature/fat-bear-week-past-and-present.htm,NPS Fat Bear Week: Past and Present
wiki,https://en.wikipedia.org/wiki/Fat_Bear_Week,Wikipedia: Fat Bear Week
nps_2020_rel,https://www.nps.gov/katm/learn/news/fat-bear-week-2020.htm,NPS 2020 bracket release
nps_2021,https://www.nps.gov/katm/learn/fat-bear-week-2021.htm,NPS FBW 2021 bear bios
nps_2021_blog,https://www.nps.gov/katm/blogs/fat-bear-week-2021.htm,NPS FBW 2021 recap blog
nps_2022,https://www.nps.gov/katm/learn/fat-bear-week-2022.htm,NPS FBW 2022 bear bios
nps_2022_rel,https://www.nps.gov/katm/learn/news/fat-bear-week-2022.htm,NPS 2022 schedule release
news_12_2023,https://www.12news.com/article/news/nation-world/fat-bear-week-2023-bracket-12-bears-revealed/507-edf2b0be-57d7-46b0-9a1d-6056e82149aa,12News 2023 bracket (12 bears)
nps_2023_rel,https://www.nps.gov/katm/learn/news/2023-fat-bear-week-dates-released.htm,NPS 2023 dates release
nps_2024,https://www.nps.gov/katm/learn/fat-bear-week-2024.htm?os=i,NPS FBW 2024 bear bios
nps_2024_rel,https://www.nps.gov/katm/learn/news/weigh-in-with-fat-bears-at-katmai-national-park-for-fat-bear-week.htm,NPS 2024 release (states 2023 total)
npr_2024,https://www.npr.org/2024/10/9/nx-s1-5147101/fat-bear-week-winner-2024,NPR 2024 final
usat_2025,https://ca.news.yahoo.com/fat-bear-week-2025-bracket-012707425.html,USA Today 2025 contestants + final votes
nbc_2025,https://www.nbcnews.com/news/animal-news/32-chunk-2025s-fat-bear-week-winner-rcna234849,NBC 2025 final (12 contenders)
smith_2025,https://www.smithsonianmag.com/smart-news/after-two-years-as-runner-up-chunk-is-finally-crowned-winner-of-fat-bear-week-180987428/,Smithsonian 2025 (states 1.6M total)
nps_2026_rel,https://www.nps.gov/katm/learn/news/fat-bear-week-2026.htm,NPS 2026 release
usat_2026,https://www.aol.com/articles/fat-bear-week-contestants-revealed-002611000.html,USA Today 2026 contestants
unoff_2026,https://unofficialnetworks.com/2026/09/21/fat-bear-week-2026-begins-tomorrow/,2026 full 16-bear list
fox_2019,https://www.foxnews.com/great-outdoors/alaskas-fat-bear-week-contest-winner,2019 final votes
guardian_2022,https://www.theguardian.com/us-news/2022/oct/11/alaska-fat-bear-week-voting-scandal,2022 ballot-stuffing (via Wikipedia)
wiki_otis,https://en.wikipedia.org/wiki/Otis_(bear),Wikipedia: Otis (not seen 2024-25)
nps_2020_blog,https://www.nps.gov/katm/blogs/fat-bear-week-2020.htm,NPS 2020 recap blog (names semifinalist 151)
